0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.9126,-1.4515,-0.7873,O,0,0,0,0,0,0,0,0,0,0,0,0
2.2265,-1.0232,-0.6278,C,0,0,0,0,0,0,0,0,0,0,0,0
3.1541,-1.8558,-1.6152,C,0,0,0,0,0,0,0,0,0,0,0,0
4.5276,-1.4980,-1.4849,N,0,0,0,0,0,0,0,0,0,0,0,0
5.3226,-1.8697,-0.2697,C,0,0,0,0,0,0,0,0,0,0,0,0
4.6310,-2.7608,0.6923,C,0,0,0,0,0,0,0,0,0,0,0,0
4.2529,-2.2618,1.9187,N,0,0,0,0,0,0,0,0,0,0,0,0
4.2731,-3.3030,2.7723,C,0,0,0,0,0,0,0,0,0,0,0,0
4.7104,-4.4781,2.1869,C,0,0,0,0,0,0,0,0,0,0,0,0
5.0504,-4.1520,0.8351,N,0,0,0,0,0,0,0,0,0,0,0,0
4.8183,-5.0618,-0.1863,C,0,0,1,0,0,0,0,0,0,0,0,0
3.4991,-5.0803,-0.6545,F,0,0,0,0,0,0,0,0,0,0,0,0
5.5465,-4.7225,-1.3022,F,0,0,0,0,0,0,0,0,0,0,0,0
5.1627,-0.6844,-2.4895,C,0,0,0,0,0,0,0,0,0,0,0,0
4.5336,0.7060,-2.6404,C,0,0,1,0,0,0,0,0,0,0,0,0
4.5568,1.3412,-1.4436,F,0,0,0,0,0,0,0,0,0,0,0,0
5.2849,1.4028,-3.5205,F,0,0,0,0,0,0,0,0,0,0,0,0
0.7717,-2.2262,-0.2252,H,0,0,0,0,0,0,0,0,0,0,0,0
2.6137,-1.1480,0.3938,H,0,0,0,0,0,0,0,0,0,0,0,0
2.2746,0.0395,-0.9106,H,0,0,0,0,0,0,0,0,0,0,0,0
2.8123,-1.6949,-2.6471,H,0,0,0,0,0,0,0,0,0,0,0,0
3.0373,-2.9078,-1.3345,H,0,0,0,0,0,0,0,0,0,0,0,0
5.6027,-0.8972,0.1799,H,0,0,0,0,0,0,0,0,0,0,0,0
6.2464,-2.3122,-0.6773,H,0,0,0,0,0,0,0,0,0,0,0,0
3.9865,-3.1837,3.8198,H,0,0,0,0,0,0,0,0,0,0,0,0
4.9259,-5.4588,2.6039,H,0,0,0,0,0,0,0,0,0,0,0,0
5.0625,-6.0930,0.1102,H,0,0,0,0,0,0,0,0,0,0,0,0
5.1128,-1.1901,-3.4688,H,0,0,0,0,0,0,0,0,0,0,0,0
6.2188,-0.5395,-2.2242,H,0,0,0,0,0,0,0,0,0,0,0,0
3.4920,0.6867,-3.0034,H,0,0,0,0,0,0,0,0,0,0,0,0
