0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.8570,0.2700,1.0851,C,0,0,0,0,0,0,0,0,0,0,0,0
2.2518,0.2822,1.2328,O,0,0,0,0,0,0,0,0,0,0,0,0
2.8325,-0.9945,1.2638,C,0,0,0,0,0,0,0,0,0,0,0,0
4.3321,-0.8108,1.4267,C,0,0,0,0,0,0,0,0,0,0,0,0
4.9055,-2.1028,1.4566,O,0,0,0,0,0,0,0,0,0,0,0,0
6.2412,-2.2578,1.5958,C,0,0,0,0,0,0,0,0,0,0,0,0
7.1429,-1.1683,1.7199,C,0,0,0,0,0,0,0,0,0,0,0,0
8.4986,-1.3897,1.8597,C,0,0,0,0,0,0,0,0,0,0,0,0
9.0173,-2.7030,1.8812,C,0,0,0,0,0,0,0,0,0,0,0,0
10.4162,-2.9842,2.0235,C,0,0,0,0,0,0,0,0,0,0,0,0
11.2224,-1.9099,2.1406,O,0,0,0,0,0,0,0,0,0,0,0,0
12.6151,-2.1064,2.2862,C,0,0,0,0,0,0,0,0,0,0,0,0
10.8443,-4.2977,2.0324,C,0,0,0,0,0,0,0,0,0,0,0,0
9.8699,-5.3267,1.8997,C,0,0,0,0,0,0,0,0,0,0,0,0
10.3126,-6.7268,1.9067,C,0,0,0,0,0,0,0,0,0,0,0,0
9.5411,-7.8448,1.7950,C,0,0,0,0,0,0,0,0,0,0,0,0
10.3816,-8.9329,1.8528,O,0,0,0,0,0,0,0,0,0,0,0,0
11.6208,-8.3996,1.9961,C,0,0,0,0,0,0,0,0,0,0,0,0
12.6594,-9.2857,2.0406,N,0,0,0,0,0,0,0,0,0,0,0,0
13.9714,-8.8599,2.4255,C,0,0,1,0,0,0,0,0,0,0,0,0
15.1420,-9.5980,1.8305,C,0,0,0,0,0,0,0,0,0,0,0,0
14.8410,-8.1871,1.3976,C,0,0,0,0,0,0,0,0,0,0,0,0
11.6498,-7.1026,2.0405,N,0,0,0,0,0,0,0,0,0,0,0,0
8.5735,-5.1070,1.7689,N,0,0,0,0,0,0,0,0,0,0,0,0
8.1330,-3.8267,1.7571,C,0,0,0,0,0,0,0,0,0,0,0,0
6.7370,-3.5633,1.6157,C,0,0,0,0,0,0,0,0,0,0,0,0
5.6264,-4.8913,1.4629,Cl,0,0,0,0,0,0,0,0,0,0,0,0
0.5106,1.3138,1.0738,H,0,0,0,0,0,0,0,0,0,0,0,0
0.3557,-0.2596,1.9207,H,0,0,0,0,0,0,0,0,0,0,0,0
0.5438,-0.2164,0.1388,H,0,0,0,0,0,0,0,0,0,0,0,0
2.6288,-1.5607,0.3317,H,0,0,0,0,0,0,0,0,0,0,0,0
2.4412,-1.6029,2.1052,H,0,0,0,0,0,0,0,0,0,0,0,0
4.5385,-0.2570,2.3606,H,0,0,0,0,0,0,0,0,0,0,0,0
4.7263,-0.2151,0.5835,H,0,0,0,0,0,0,0,0,0,0,0,0
6.7642,-0.1466,1.7053,H,0,0,0,0,0,0,0,0,0,0,0,0
9.1863,-0.5489,1.9549,H,0,0,0,0,0,0,0,0,0,0,0,0
13.0639,-1.1072,2.3620,H,0,0,0,0,0,0,0,0,0,0,0,0
13.0430,-2.6320,1.4153,H,0,0,0,0,0,0,0,0,0,0,0,0
12.8494,-2.6805,3.1992,H,0,0,0,0,0,0,0,0,0,0,0,0
11.8876,-4.5880,2.1353,H,0,0,0,0,0,0,0,0,0,0,0,0
8.4782,-8.0246,1.6821,H,0,0,0,0,0,0,0,0,0,0,0,0
12.3950,-10.2408,2.2584,H,0,0,0,0,0,0,0,0,0,0,0,0
14.0721,-8.5036,3.4603,H,0,0,0,0,0,0,0,0,0,0,0,0
14.9175,-10.4030,1.1251,H,0,0,0,0,0,0,0,0,0,0,0,0
16.0074,-9.7828,2.4725,H,0,0,0,0,0,0,0,0,0,0,0,0
14.4059,-8.0378,0.4068,H,0,0,0,0,0,0,0,0,0,0,0,0
15.4932,-7.3792,1.7388,H,0,0,0,0,0,0,0,0,0,0,0,0
