0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.4818,-1.9517,2.7288,O,0,0,0,0,0,0,0,0,0,0,0,0
2.1016,-1.5859,1.7607,C,0,0,0,0,0,0,0,0,0,0,0,0
2.4716,-2.4267,0.7737,O,0,0,0,0,0,0,0,0,0,0,0,0
2.5507,-0.1672,1.4915,C,0,0,0,0,0,0,0,0,0,0,0,0
4.0540,-0.0200,1.1710,C,0,0,1,0,0,0,0,0,0,0,0,0
4.3774,1.3721,0.8580,N,0,0,0,0,0,0,0,0,0,0,0,0
4.1749,1.9018,-0.3879,C,0,0,0,0,0,0,0,0,0,0,0,0
3.6902,1.2401,-1.2948,O,0,0,0,0,0,0,0,0,0,0,0,0
4.6515,3.3357,-0.5812,C,0,0,2,0,0,0,0,0,0,0,0,0
4.3116,4.3870,0.5252,C,0,0,0,0,0,0,0,0,0,0,0,0
3.7625,5.5489,-0.3427,C,0,0,2,0,0,0,0,0,0,0,0,0
2.3167,5.2320,-0.7821,C,0,0,0,0,0,0,0,0,0,0,0,0
2.5728,4.1299,-1.8511,C,0,0,0,0,0,0,0,0,0,0,0,0
4.1164,4.0589,-1.8451,C,0,0,1,0,0,0,0,0,0,0,0,0
4.4962,5.4110,-1.5635,O,0,0,0,0,0,0,0,0,0,0,0,0
5.0077,-0.5289,2.2439,C,0,0,0,0,0,0,0,0,0,0,0,0
6.3466,-0.7781,1.8923,C,0,0,0,0,0,0,0,0,0,0,0,0
7.2747,-1.2034,2.8376,C,0,0,0,0,0,0,0,0,0,0,0,0
6.8696,-1.3967,4.1618,C,0,0,0,0,0,0,0,0,0,0,0,0
7.8627,-1.8537,5.0219,O,0,0,0,0,0,0,0,0,0,0,0,0
7.8102,-1.6433,6.3549,C,0,0,1,0,0,0,0,0,0,0,0,0
7.5956,-0.3567,6.6596,F,0,0,0,0,0,0,0,0,0,0,0,0
6.8420,-2.3601,6.9523,F,0,0,0,0,0,0,0,0,0,0,0,0
8.9742,-2.0159,6.8672,F,0,0,0,0,0,0,0,0,0,0,0,0
5.5459,-1.1723,4.5395,C,0,0,0,0,0,0,0,0,0,0,0,0
4.6289,-0.7320,3.5771,C,0,0,0,0,0,0,0,0,0,0,0,0
2.1527,-3.3117,1.0224,H,0,0,0,0,0,0,0,0,0,0,0,0
2.2524,0.4505,2.3493,H,0,0,0,0,0,0,0,0,0,0,0,0
2.0075,0.1933,0.6032,H,0,0,0,0,0,0,0,0,0,0,0,0
4.2325,-0.5871,0.2450,H,0,0,0,0,0,0,0,0,0,0,0,0
4.7660,1.9497,1.5940,H,0,0,0,0,0,0,0,0,0,0,0,0
5.7482,3.2760,-0.6869,H,0,0,0,0,0,0,0,0,0,0,0,0
5.2076,4.6978,1.0821,H,0,0,0,0,0,0,0,0,0,0,0,0
3.5657,4.0274,1.2509,H,0,0,0,0,0,0,0,0,0,0,0,0
3.9204,6.5516,0.0763,H,0,0,0,0,0,0,0,0,0,0,0,0
1.8490,6.1240,-1.2236,H,0,0,0,0,0,0,0,0,0,0,0,0
1.6822,4.8961,0.0522,H,0,0,0,0,0,0,0,0,0,0,0,0
2.2185,4.4421,-2.8439,H,0,0,0,0,0,0,0,0,0,0,0,0
2.1109,3.1617,-1.6211,H,0,0,0,0,0,0,0,0,0,0,0,0
4.5727,3.7228,-2.7834,H,0,0,0,0,0,0,0,0,0,0,0,0
6.6671,-0.6322,0.8573,H,0,0,0,0,0,0,0,0,0,0,0,0
8.3149,-1.3963,2.5692,H,0,0,0,0,0,0,0,0,0,0,0,0
5.2143,-1.3439,5.5626,H,0,0,0,0,0,0,0,0,0,0,0,0
3.5957,-0.5772,3.8922,H,0,0,0,0,0,0,0,0,0,0,0,0
