0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11.8915,2.7468,1.2023,C,0,0,0,0,0,0,0,0,0,0,0,0
10.4479,2.7965,1.5933,C,0,0,0,0,0,0,0,0,0,0,0,0
9.3842,1.9294,1.1840,C,0,0,0,0,0,0,0,0,0,0,0,0
8.2958,2.4173,1.8476,C,0,0,0,0,0,0,0,0,0,0,0,0
6.8356,2.0717,1.8740,C,0,0,1,0,0,0,0,0,0,0,0,0
6.4952,2.1960,2.9163,H,0,0,0,0,0,0,0,0,0,0,0,0
5.9864,2.9364,0.9058,C,0,0,0,0,0,0,0,0,0,0,0,0
4.8863,1.9826,0.4271,C,0,0,0,0,0,0,0,0,0,0,0,0
5.6197,0.6419,0.3170,C,0,0,0,0,0,0,0,0,0,0,0,0
6.5660,0.6904,1.4413,N,0,0,0,0,0,0,0,0,0,0,0,0
6.9143,-0.3411,2.2693,C,0,0,0,0,0,0,0,0,0,0,0,0
7.5083,-0.1553,3.3195,O,0,0,0,0,0,0,0,0,0,0,0,0
6.5236,-1.7657,1.8418,C,0,0,0,0,0,0,0,0,0,0,0,0
5.1590,-2.0880,2.2171,N,0,0,0,0,0,0,0,0,0,0,0,0
4.6237,-1.8981,3.4860,C,0,0,0,0,0,0,0,0,0,0,0,0
3.3370,-2.3772,3.5475,C,0,0,0,0,0,0,0,0,0,0,0,0
2.4168,-2.3531,4.7293,C,0,0,0,0,0,0,0,0,0,0,0,0
3.0477,-2.9145,2.2391,C,0,0,0,0,0,0,0,0,0,0,0,0
1.9190,-3.5377,1.6747,C,0,0,0,0,0,0,0,0,0,0,0,0
1.9674,-3.9608,0.3494,C,0,0,0,0,0,0,0,0,0,0,0,0
3.1304,-3.7748,-0.4278,C,0,0,0,0,0,0,0,0,0,0,0,0
4.2640,-3.1608,0.1017,C,0,0,0,0,0,0,0,0,0,0,0,0
4.2116,-2.7275,1.4356,C,0,0,0,0,0,0,0,0,0,0,0,0
8.6578,3.4817,2.5813,O,0,0,0,0,0,0,0,0,0,0,0,0
10.0148,3.7203,2.4208,N,0,0,0,0,0,0,0,0,0,0,0,0
12.0096,2.8387,0.1106,H,0,0,0,0,0,0,0,0,0,0,0,0
12.3481,1.7910,1.5056,H,0,0,0,0,0,0,0,0,0,0,0,0
12.4394,3.5667,1.6862,H,0,0,0,0,0,0,0,0,0,0,0,0
9.4346,1.0712,0.5199,H,0,0,0,0,0,0,0,0,0,0,0,0
6.6087,3.2567,0.0552,H,0,0,0,0,0,0,0,0,0,0,0,0
5.6072,3.8423,1.3987,H,0,0,0,0,0,0,0,0,0,0,0,0
4.4257,2.2934,-0.5222,H,0,0,0,0,0,0,0,0,0,0,0,0
4.0867,1.9037,1.1816,H,0,0,0,0,0,0,0,0,0,0,0,0
6.1566,0.5645,-0.6471,H,0,0,0,0,0,0,0,0,0,0,0,0
4.9418,-0.2164,0.3996,H,0,0,0,0,0,0,0,0,0,0,0,0
7.2392,-2.4356,2.3454,H,0,0,0,0,0,0,0,0,0,0,0,0
6.6304,-1.9033,0.7576,H,0,0,0,0,0,0,0,0,0,0,0,0
5.2276,-1.4227,4.2577,H,0,0,0,0,0,0,0,0,0,0,0,0
2.8969,-1.8825,5.6003,H,0,0,0,0,0,0,0,0,0,0,0,0
2.1102,-3.3709,5.0267,H,0,0,0,0,0,0,0,0,0,0,0,0
1.4910,-1.7916,4.5144,H,0,0,0,0,0,0,0,0,0,0,0,0
1.0162,-3.6906,2.2721,H,0,0,0,0,0,0,0,0,0,0,0,0
1.0972,-4.4479,-0.0975,H,0,0,0,0,0,0,0,0,0,0,0,0
3.1461,-4.1231,-1.4636,H,0,0,0,0,0,0,0,0,0,0,0,0
5.1609,-3.0356,-0.5097,H,0,0,0,0,0,0,0,0,0,0,0,0
